DATE,Ward Code,Areas,Latitude,Longitude,Rainfall_mm,Nearest Station,Discharge_m3s,Elevation,Land Use Classes,Population,Flood-risk_level,Flood_occured,Monitoring_required,Road Density_m,Runoff equivalent,Soil Wetness Index,Rainfall_Intensity_mm_hr,Rainfall Days Count,Longest rainfall _days,Distance_to_water_m,Soil Type,Built_up%,True_nearest_distance_m,Drainage_line_id,Drainage_properties,true_conditions_count
01-06-2023 00:00,Ward A,Colaba Causeway,18.9151,72.8141,0,Arabian Sea ,1.25,6,"commercial, mixed_use",185000,Moderate,Yes,Yes,4.3,0,0.45686007,0,28,5,9,Urban,90,3921.69,9,"{'id': 'way/55785229', '@id': 'way/55785229', 'covered': None, 'designation': None, 'intermittent': None, 'layer': None, 'lock': 'yes', 'name': None, 'seasonal': None, 'source': None, 'tunnel': None, 'waterway': 'canal', 'width': None}",1
02-06-2023 00:00,Ward A,Colaba Causeway,18.9151,72.8141,0,Arabian Sea ,1.25,6,"commercial, mixed_use",185000,Moderate,Yes,Yes,4.3,0,0.45524943,0,28,5,9,Urban,90,3921.69,9,"{'id': 'way/55785229', '@id': 'way/55785229', 'covered': None, 'designation': None, 'intermittent': None, 'layer': None, 'lock': 'yes', 'name': None, 'seasonal': None, 'source': None, 'tunnel': None, 'waterway': 'canal', 'width': None}",1
03-06-2023 00:00,Ward A,Colaba Causeway,18.9151,72.8141,0,Arabian Sea ,1.25,6,"commercial, mixed_use",185000,Moderate,Yes,Yes,4.3,0,0.45430297,0,28,5,9,Urban,90,3921.69,9,"{'id': 'way/55785229', '@id': 'way/55785229', 'covered': None, 'designation': None, 'intermittent': None, 'layer': None, 'lock': 'yes', 'name': None, 'seasonal': None, 'source': None, 'tunnel': None, 'waterway': 'canal', 'width': None}",1
04-06-2023 00:00,Ward A,Colaba Causeway,18.9151,72.8141,6.610472,Arabian Sea ,1.25,6,"commercial, mixed_use",185000,Moderate,Yes,Yes,4.3,0.32424927,0.45597446,0.275436,28,5,9,Urban,90,3921.69,9,"{'id': 'way/55785229', '@id': 'way/55785229', 'covered': None, 'designation': None, 'intermittent': None, 'layer': None, 'lock': 'yes', 'name': None, 'seasonal': None, 'source': None, 'tunnel': None, 'waterway': 'canal', 'width': None}",1
05-06-2023 00:00,Ward A,Colaba Causeway,18.9151,72.8141,0,Arabian Sea ,1.28125,6,"commercial, mixed_use",185000,Moderate,Yes,Yes,4.3,0,0.45573163,0,28,5,9,Urban,90,3921.69,9,"{'id': 'way/55785229', '@id': 'way/55785229', 'covered': None, 'designation': None, 'intermittent': None, 'layer': None, 'lock': 'yes', 'name': None, 'seasonal': None, 'source': None, 'tunnel': None, 'waterway': 'canal', 'width': None}",1
06-06-2023 00:00,Ward A,Colaba Causeway,18.9151,72.8141,0,Arabian Sea ,1.28125,6,"commercial, mixed_use",185000,Moderate,Yes,Yes,4.3,0,0.45549643,0,28,5,9,Urban,90,3921.69,9,"{'id': 'way/55785229', '@id': 'way/55785229', 'covered': None, 'designation': None, 'intermittent': None, 'layer': None, 'lock': 'yes', 'name': None, 'seasonal': None, 'source': None, 'tunnel': None, 'waterway': 'canal', 'width': None}",1
07-06-2023 00:00,Ward A,Colaba Causeway,18.9151,72.8141,0,Arabian Sea ,1.28125,6,"commercial, mixed_use",185000,Moderate,Yes,Yes,4.3,0,0.45416486,0,28,5,9,Urban,90,3921.69,9,"{'id': 'way/55785229', '@id': 'way/55785229', 'covered': None, 'designation': None, 'intermittent': None, 'layer': None, 'lock': 'yes', 'name': None, 'seasonal': None, 'source': None, 'tunnel': None, 'waterway': 'canal', 'width': None}",1
08-06-2023 00:00,Ward A,Colaba Causeway,18.9151,72.8141,0,Arabian Sea ,1.25,6,"commercial, mixed_use",185000,Moderate,Yes,Yes,4.3,0.09727478,0.45456386,0,28,5,9,Urban,90,3921.69,9,"{'id': 'way/55785229', '@id': 'way/55785229', 'covered': None, 'designation': None, 'intermittent': None, 'layer': None, 'lock': 'yes', 'name': None, 'seasonal': None, 'source': None, 'tunnel': None, 'waterway': 'canal', 'width': None}",1
09-06-2023 00:00,Ward A,Colaba Causeway,18.9151,72.8141,0,Arabian Sea ,1.28125,6,"commercial, mixed_use",185000,High,Yes,Yes,4.3,0.875473,0.4591815,0,28,5,9,Urban,90,3921.69,9,"{'id': 'way/55785229', '@id': 'way/55785229', 'covered': None, 'designation': None, 'intermittent': None, 'layer': None, 'lock': 'yes', 'name': None, 'seasonal': None, 'source': None, 'tunnel': None, 'waterway': 'canal', 'width': None}",2
10-06-2023 00:00,Ward A,Colaba Causeway,18.9151,72.8141,0,Arabian Sea ,1.4375,6,"commercial, mixed_use",185000,High,Yes,Yes,4.3,1.8482208,0.45981348,0,28,5,9,Urban,90,3921.69,9,"{'id': 'way/55785229', '@id': 'way/55785229', 'covered': None, 'designation': None, 'intermittent': None, 'layer': None, 'lock': 'yes', 'name': None, 'seasonal': None, 'source': None, 'tunnel': None, 'waterway': 'canal', 'width': None}",2
